slug,asin,imageUrl
dewalt-dcg405n,B0BB2SJNFN,
dewalt-dcg460-flexvolt,B0CFXM3RXY,
makita-dga463z,B01LW2MQGG,
dewalt-dcle34035b-laser,B0DMPCBK6F,
sigma-2g-37cm-tile-cutter,B00BBBBCM2,
tool-depot-mlt-400-levelling-system,B0CXWLTZJ7,
ox-pro-12mm-notch-trowel,B075SHLBFN,
